review,rating
"food was sooo good 😋",5
"not hygienic at all",1
"average taste nothing special",3
"loved the ambience and lighting",5
"too spicy for me",2
"staff was very polite",4
"order came late but food ok",3
"very tasty nd fresh food",5
"bad service not recommended",1
"price high according to quantity",2
"nice vibe good music",4
"food was burnt",1
"really enjoyed with friends",5
"okay place nothing wow",3
"too much waiting time",2
"superb taste 😍",5
"not clean tables",2
"food is decent",3
"very friendly environment",4
"worst food quality",1
"taste was amazing loved it",5
"delivery was very late",2
"good but not great",3
"staff behaviour nice",4
"overpriced food",2
"excellent experience",5
"food quality dropped recently",2
"quite अच्छा food",4
"meh service meh food",3
"loved the chicken dishes",5
"rice was undercooked",1
"place looks nice",4
"okayish taste nd service",3
"too oily and heavy",2
"best hangout place",5
"service not good",2
"food is awesome 🔥",5
"average experience overall",3
"clean and hygienic",4
"very disappointing",1
"yummy food loved it",5
"staff ignored us",1
"food is fine",3
"good for quick bite",4
"not worth money",2
"fantastic ambience",5
"taste not consistent",2
"decent place",3
"service was fast",4
"worst experience ever",1
"absolutely delicious 😍",5
"too salty food",2
"okay okay nothing special",3
"staff was helpful",4
"loved the dessert",5
"bad quality food",1
"food is okay",3
"nice seating area",4
"super tasty 😋",5
"very slow service",2
"fine experience",3
"friendly staff and nice food",4
"food was excellent",5
"not fresh food",1
"okay for the price",3
"good quality food",4
"really bad taste",1
"great place to chill",5
"too crowded",2
"average service",3
"nice food but slow service",3
